============================================================================================================================================================================================================================
FOCUSED DEFENSE GENE EXTRACTION - CATEGORIES YOU REQUESTED
============================================================================================================================================================================================================================

HYPOTHETICAL PROTEINS: 212
DUF-DOMAIN PROTEINS: 59
GENERIC METHYLTRANSFERASES: 17
GENERIC NUCLEASES/ENDONUCLEASES: 36
HELIX-TURN-HELIX PROTEINS (non-transcriptional): 0
CLUSTERED DEFENSE ISLANDS: 110 genes

============================================================================================================================================================================================================================


SECTION 1: HYPOTHETICAL PROTEINS
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LOCUS_TAG          | PGAP_PRODUCT_NAME                                       | LENGTH  | CONTIG:COORD             | HYPOTHESIS                          | CONF  | SCORE
ACWYRP_RS02505     | hypothetical protein                                    | 288aa   | c000005.1:28059-28346    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02515     | hypothetical protein                                    | 165aa   | c000005.1:28637-28801    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02525     | hypothetical protein                                    | 264aa   | c000005.1:29554-29817    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02535     | hypothetical protein                                    | 192aa   | c000005.1:30180-30371    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02585     | hypothetical protein                                    | 558aa   | c000005.1:37645-38202    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02610     | hypothetical protein                                    | 375aa   | c000005.1:41207-41581    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02725     | hypothetical protein                                    | 447aa   | c000005.1:68310-68756    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02755     | hypothetical protein                                    | 258aa   | c000005.1:72279-72536    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02760     | hypothetical protein                                    | 123aa   | c000005.1:72748-72870    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02765     | hypothetical protein                                    | 135aa   | c000005.1:72813-72947    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02770     | hypothetical protein                                    | 309aa   | c000005.1:73165-73473    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02775     | hypothetical protein                                    | 315aa   | c000005.1:73488-73802    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02780     | hypothetical protein                                    | 295aa   | c000006.1:1-295          | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS03050     | hypothetical protein                                    | 441aa   | c000006.1:50310-50750    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS03070     | hypothetical protein                                    | 636aa   | c000006.1:53395-54030    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS03085     | hypothetical protein                                    | 438aa   | c000006.1:57138-57575    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS03215     | hypothetical protein                                    | 153aa   | c000007.1:8323-8475      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS03220     | hypothetical protein                                    | 144aa   | c000007.1:8606-8749      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS03550     | hypothetical protein                                    | 336aa   | c000007.1:70150-70485    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS03760     | hypothetical protein                                    | 468aa   | c000008.1:43659-44126    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS03780     | hypothetical protein                                    | 306aa   | c000008.1:45026-45331    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS03895     | hypothetical protein                                    | 255aa   | c000009.1:1644-1898      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS03995     | hypothetical protein                                    | 507aa   | c000009.1:21406-21912    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS04000     | hypothetical protein                                    | 291aa   | c000009.1:21909-22199    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS04050     | hypothetical protein                                    | 288aa   | c000009.1:33635-33922    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS04365     | hypothetical protein                                    | 543aa   | c000010.1:34622-35164    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS04380     | hypothetical protein                                    | 684aa   | c000010.1:36890-37573    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS04405     | hypothetical protein                                    | 225aa   | c000010.1:44437-44661    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS04600     | hypothetical protein                                    | 303aa   | c000011.1:28522-28824    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS04635     | hypothetical protein                                    | 207aa   | c000011.1:34332-34538    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS04700     | hypothetical protein                                    | 489aa   | c000012.1:708-1196       | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS04895     | hypothetical protein                                    | 513aa   | c000012.1:39972-40484    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05005     | hypothetical protein                                    | 174aa   | c000013.1:16686-16859    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05165     | hypothetical protein                                    | 441aa   | c000014.1:13131-13571    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05315     | hypothetical protein                                    | 144aa   | c000014.1:40336-40479    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05390     | hypothetical protein                                    | 243aa   | c000015.1:14067-14309    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05415     | hypothetical protein                                    | 219aa   | c000015.1:17943-18161    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05420     | hypothetical protein                                    | 360aa   | c000015.1:18730-19089    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05450     | hypothetical protein                                    | 270aa   | c000015.1:23597-23866    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05710     | hypothetical protein                                    | 447aa   | c000016.1:35310-35756    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05750     | hypothetical protein                                    | 738aa   | c000017.1:3431-4168      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05870     | hypothetical protein                                    | 924aa   | c000017.1:25608-26531    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05880     | hypothetical protein                                    | 135aa   | c000017.1:27927-28061    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05905     | hypothetical protein                                    | 522aa   | c000017.1:30937-31458    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS05975     | hypothetical protein                                    | 270aa   | c000018.1:7535-7804      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS06100     | hypothetical protein                                    | 444aa   | c000019.1:999-1442       | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS06250     | hypothetical protein                                    | 198aa   | c000019.1:27333-27530    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS06555     | hypothetical protein                                    | 1293aa  | c000021.1:26286-27578    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS06650     | hypothetical protein                                    | 144aa   | c000022.1:17121-17264    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS06790     | hypothetical protein                                    | 486aa   | c000023.1:12829-13314    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS06795     | hypothetical protein                                    | 255aa   | c000023.1:13325-13579    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07010     | hypothetical protein                                    | 531aa   | c000024.1:19452-19982    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07020     | hypothetical protein                                    | 378aa   | c000024.1:21090-21467    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07040     | hypothetical protein                                    | 351aa   | c000024.1:25102-25452    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07045     | hypothetical protein                                    | 1077aa  | c000024.1:25516-26592    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07050     | hypothetical protein                                    | 327aa   | c000024.1:26643-26969    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07075     | hypothetical protein                                    | 372aa   | c000024.1:29135-29506    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07080     | hypothetical protein                                    | 1945aa  | c000025.1:1-1945         | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07085     | hypothetical protein                                    | 783aa   | c000025.1:2039-2821      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07095     | hypothetical protein                                    | 213aa   | c000025.1:5242-5454      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07115     | hypothetical protein                                    | 369aa   | c000025.1:7736-8104      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07135     | hypothetical protein                                    | 525aa   | c000025.1:12147-12671    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07140     | hypothetical protein                                    | 567aa   | c000025.1:12661-13227    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07155     | hypothetical protein                                    | 336aa   | c000025.1:16207-16542    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07165     | hypothetical protein                                    | 258aa   | c000025.1:16867-17124    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07170     | hypothetical protein                                    | 315aa   | c000025.1:17146-17460    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07195     | hypothetical protein                                    | 297aa   | c000025.1:21691-21987    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07205     | hypothetical protein                                    | 381aa   | c000025.1:23988-24368    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07210     | hypothetical protein                                    | 195aa   | c000025.1:24361-24555    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07215     | hypothetical protein                                    | 261aa   | c000025.1:24642-24902    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07230     | hypothetical protein                                    | 420aa   | c000025.1:25773-26192    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07350     | hypothetical protein                                    | 180aa   | c000026.1:22628-22807    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07580     | hypothetical protein                                    | 510aa   | c000028.1:10829-11338    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07640     | hypothetical protein                                    | 480aa   | c000029.1:2220-2699      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07665     | hypothetical protein                                    | 216aa   | c000029.1:5589-5804      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07670     | hypothetical protein                                    | 204aa   | c000029.1:5855-6058      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07675     | hypothetical protein                                    | 168aa   | c000029.1:6048-6215      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07680     | hypothetical protein                                    | 234aa   | c000029.1:6202-6435      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07685     | hypothetical protein                                    | 243aa   | c000029.1:6603-6845      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07690     | hypothetical protein                                    | 210aa   | c000029.1:6914-7123      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07695     | hypothetical protein                                    | 147aa   | c000029.1:7101-7247      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07700     | hypothetical protein                                    | 216aa   | c000029.1:7264-7479      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07755     | hypothetical protein                                    | 828aa   | c000029.1:17346-18173    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07910     | hypothetical protein                                    | 144aa   | c000031.1:3035-3178      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07940     | hypothetical protein                                    | 300aa   | c000031.1:9354-9653      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS07985     | hypothetical protein                                    | 174aa   | c000032.1:810-983        | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08015     | hypothetical protein                                    | 123aa   | c000032.1:9017-9139      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08040     | hypothetical protein                                    | 150aa   | c000032.1:14692-14841    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08150     | hypothetical protein                                    | 372aa   | c000034.1:1776-2147      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08365     | hypothetical protein                                    | 123aa   | c000036.1:8057-8179      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08400     | hypothetical protein                                    | 459aa   | c000037.1:48-506         | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08495     | hypothetical protein                                    | 432aa   | c000038.1:5382-5813      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08525     | hypothetical protein                                    | 234aa   | c000038.1:13222-13455    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08530     | hypothetical protein                                    | 518aa   | c000039.1:1-518          | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08780     | hypothetical protein                                    | 339aa   | c000043.1:5795-6133      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08785     | hypothetical protein                                    | 318aa   | c000043.1:6327-6644      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08805     | hypothetical protein                                    | 264aa   | c000043.1:9849-10112     | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08820     | hypothetical protein                                    | 252aa   | c000044.1:1652-1903      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08865     | hypothetical protein                                    | 1767aa  | c000045.1:1-1767         | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08870     | hypothetical protein                                    | 156aa   | c000045.1:1786-1941      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08875     | hypothetical protein                                    | 240aa   | c000045.1:1944-2183      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08880     | hypothetical protein                                    | 426aa   | c000045.1:2234-2659      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08885     | hypothetical protein                                    | 1092aa  | c000045.1:2656-3747      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08890     | hypothetical protein                                    | 795aa   | c000045.1:3778-4572      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08895     | hypothetical protein                                    | 225aa   | c000045.1:4590-4814      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08915     | hypothetical protein                                    | 495aa   | c000045.1:7372-7866      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08920     | hypothetical protein                                    | 240aa   | c000045.1:7853-8092      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08925     | hypothetical protein                                    | 222aa   | c000045.1:8470-8691      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08930     | hypothetical protein                                    | 600aa   | c000045.1:8850-9449      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08935     | hypothetical protein                                    | 168aa   | c000045.1:9869-10036     | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08940     | hypothetical protein                                    | 183aa   | c000046.1:159-341        | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08945     | hypothetical protein                                    | 243aa   | c000046.1:338-580        | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08950     | hypothetical protein                                    | 321aa   | c000046.1:583-903        | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08955     | hypothetical protein                                    | 315aa   | c000046.1:900-1214       | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08965     | hypothetical protein                                    | 159aa   | c000046.1:1544-1702      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08970     | hypothetical protein                                    | 264aa   | c000046.1:1803-2066      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08975     | hypothetical protein                                    | 267aa   | c000046.1:2063-2329      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS08990     | hypothetical protein                                    | 528aa   | c000046.1:3682-4209      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09000     | hypothetical protein                                    | 1116aa  | c000046.1:4880-5995      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09010     | hypothetical protein                                    | 318aa   | c000046.1:9234-9551      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09030     | hypothetical protein                                    | 144aa   | c000047.1:1310-1453      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09155     | hypothetical protein                                    | 216aa   | c000050.1:2532-2747      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09160     | hypothetical protein                                    | 144aa   | c000050.1:2750-2893      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09165     | hypothetical protein                                    | 237aa   | c000050.1:2896-3132      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09170     | hypothetical protein                                    | 225aa   | c000050.1:3134-3358      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09240     | hypothetical protein                                    | 381aa   | c000052.1:2748-3128      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09245     | hypothetical protein                                    | 252aa   | c000052.1:3115-3366      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09315     | hypothetical protein                                    | 234aa   | c000055.1:152-385        | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09320     | hypothetical protein                                    | 153aa   | c000055.1:498-650        | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09335     | hypothetical protein                                    | 342aa   | c000055.1:2231-2572      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09355     | hypothetical protein                                    | 180aa   | c000056.1:1750-1929      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09370     | hypothetical protein                                    | 258aa   | c000056.1:2983-3240      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09395     | hypothetical protein                                    | 402aa   | c000057.1:2369-2770      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09400     | hypothetical protein                                    | 345aa   | c000057.1:2767-3111      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09455     | hypothetical protein                                    | 1623aa  | c000060.1:175-1797       | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09470     | hypothetical protein                                    | 225aa   | c000060.1:3421-3645      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09475     | hypothetical protein                                    | 541aa   | c000060.1:3663-4203      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09480     | hypothetical protein                                    | 207aa   | c000061.1:35-241         | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09645     | hypothetical protein                                    | 202aa   | c000070.1:1-202          | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09655     | hypothetical protein                                    | 516aa   | c000070.1:617-1132       | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09660     | hypothetical protein                                    | 531aa   | c000070.1:1135-1665      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09665     | hypothetical protein                                    | 630aa   | c000070.1:1665-2294      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09675     | hypothetical protein                                    | 202aa   | c000071.1:1-202          | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09685     | hypothetical protein                                    | 507aa   | c000071.1:617-1123       | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09690     | hypothetical protein                                    | 531aa   | c000071.1:1126-1656      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09695     | hypothetical protein                                    | 630aa   | c000071.1:1656-2285      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS09700     | hypothetical protein                                    | 327aa   | c000071.1:2331-2657      | Hypothetical (Context TBD)          | L     | 1    
